sales_month,product_category_name,total_revenue,monthly_rank
2017-04,pc_gamer,259.98,44
2017-04,fashion_esporte,189.78,45
2017-04,sinalizacao_e_seguranca,128.06,46
2017-04,artes,119.9,47
2017-04,cine_foto,118.0,48
2017-04,moveis_colchao_e_estofado,109.4,49
2017-04,fashion_underwear_e_moda_praia,92.89,50
2017-04,livros_tecnicos,75.0,51
2017-04,artigos_de_natal,69.0,52
2017-04,fashion_roupa_feminina,64.9,53
2017-04,musica,59.8,54
2017-04,alimentos_bebidas,47.9,55
2017-04,la_cuisine,24.0,56
2017-04,livros_importados,19.99,57
2017-04,casa_conforto_2,12.9,58
2017-05,beleza_saude,46340.06,1
2017-05,informatica_acessorios,44759.39,2
2017-05,relogios_presentes,36619.48,3
2017-05,esporte_lazer,34101.73,4
2017-05,cama_mesa_banho,32684.6,5
2017-05,cool_stuff,32481.6,6
2017-05,moveis_decoracao,22312.54,7
2017-05,brinquedos,22179.25,8
2017-05,utilidades_domesticas,21374.9,9
2017-05,ferramentas_jardim,20372.57,10
2017-05,perfumaria,19982.06,11
2017-05,automotivo,17501.25,12
2017-05,malas_acessorios,12539.62,13
2017-05,,10818.34,14
2017-05,instrumentos_musicais,9639.44,15
2017-05,bebes,8933.72,16
2017-05,telefonia,8844.39,17
2017-05,moveis_escritorio,8403.43,18
2017-05,pet_shop,8151.02,19
2017-05,fashion_bolsas_e_acessorios,7192.0,20
2017-05,artes,6927.25,21
2017-05,eletronicos,6149.11,22
2017-05,papelaria,5600.18,23
2017-05,eletroportateis,5241.44,24
2017-05,casa_conforto,5114.07,25
2017-05,moveis_sala,4479.45,26
2017-05,consoles_games,2507.2,27
2017-05,market_place,2476.98,28
2017-05,moveis_quarto,2369.97,29
2017-05,audio,2081.18,30
2017-05,eletrodomesticos,1912.79,31
2017-05,livros_interesse_geral,1841.57,32
2017-05,fashion_calcados,1669.54,33
2017-05,casa_construcao,1620.5,34
2017-05,agro_industria_e_comercio,1579.94,35
2017-05,tablets_impressao_imagem,1514.98,36
2017-05,construcao_ferramentas_jardim,1447.34,37
2017-05,eletrodomesticos_2,1306.05,38
2017-05,moveis_cozinha_area_de_servico_jantar_e_jardim,1304.48,39
2017-05,climatizacao,914.87,40
2017-05,construcao_ferramentas_ferramentas,803.9,41
2017-05,fashion_roupa_masculina,608.9,42
2017-05,moveis_colchao_e_estofado,595.89,43
2017-05,industria_comercio_e_negocios,519.8,44
2017-05,sinalizacao_e_seguranca,508.85,45
2017-05,telefonia_fixa,445.83,46
